"id","t1","t2","t3","t4","t5"
"1","19.42","38.11","82.63","79.86","90.97"
"2","21.09","23","78.26","3.11","15.86"
"3","12.66","39.77","88.34","80.19","69.03"
"4","85.81","23.67","0.93","62.62","69.31"
"5","3.34","94.81","32.55","98.98","99.48"
"6","99.97","93.12","61.49","56","95.77"
"7","46.23","12.4","84.99","34.39","84.78"
"8","78.23","15.47","10.37","6.06","76.08"
"9","60.44","8.52","7.75","61.04","46.94"
"10","25.81","56.73","60.44","57.34","94.8"
"11","5.39","24.07","64.91","68.31","22.77"
"12","51.45","31.46","6.91","80.22","43.36"
"13","55.75","18.88","38.65","71.32","62.47"
"14","86.93","88.86","6.96","53.15","39.32"
"15","50.23","37.06","18.95","97.41","92.79"
"16","11.3","78.27","37.4","12.09","20.06"
"17","68.96","27.21","94.84","31.94","39.75"
"18","59.8","56.81","20.54","25.78","86.85"
"19","38.41","29.59","87.03","60.64","89.96"
"20","40.02","4.73","21.53","64.93","63.6"
"21","29.14","35.61","95.68","60.14","88.27"
"22","11.49","46.85","8.06","2.29","52.1"
"23","57.06","47.86","60.28","51.4","24.17"
"24","99.21","74.92","54.02","77.82","15.9"
"25","6.64","2.97","79.4","67.22","68.23"
"26","17.9","43.41","96.45","6.53","68.85"
"27","56.39","16.13","70.84","89.51","43.29"
"28","66.13","71.53","9.25","10.14","86.58"
"29","17.56","25.62","14.85","29.17","7.83"
"30","20.28","85.39","2.31","69.52","11.3"
"31","79.01","48.43","30.01","54.59","14.67"
"32","51.72","75.72","54.98","74.4","18.17"
"33","44.73","18.8","94.09","15.47","84.89"
"34","58.24","6.53","9.23","70.19","35.37"
"35","47.63","36.89","24.64","23.45","0.91"
"36","72.9","4.66","67.94","60.08","77.19"
"37","87.81","0.13","37.19","56.85","50.32"
"38","99.06","47.43","63.49","39.65","14.25"
"39","19.58","30.7","17.58","98.86","45.87"
"40","79.95","6.89","58.79","93.79","21.52"
"41","83.73","9.53","19.37","73.38","23.63"
"42","17.5","42.9","98.74","80.49","22.1"
"43","31.36","73.37","4.93","66.22","55.84"
"44","95.8","67.73","36.92","46.4","13.92"
"45","75.2","38.43","46.58","32.15","48.25"
"46","97.63","40.44","51.01","29.87","93.14"
"47","30.34","19.65","88.35","64.63","86.24"
"48","77.29","28.31","53.95","5.73","36.53"
"49","30.2","15.52","78.36","21.28","1.57"
"50","52.77","70.64","40.6","4.76","6.17"
"51","71.59","7.06","25","78.15","17.08"
"52","5.1","79.95","25.69","96.3","57.4"
"53","92.38","76.24","75.31","14.01","49.75"
"54","62.23","28.11","69.78","69.7","54.09"
"55","36.23","35.9","45.69","15.21","76.94"
"56","86.45","91.53","85.43","47.55","42.47"
"57","56.11","49.51","93.94","41.37","95.64"
"58","65.05","89.61","47.82","72.88","8.51"
"59","39.4","63.46","79.28","86.1","70.46"
"60","6.01","45.49","15.13","32.8","76.51"
"61","53.63","95.72","86.67","41.42","99.42"
"62","77.6","75.24","34.26","66.47","76.86"
"63","79.52","68.08","63.35","41.17","11.53"
"64","7.07","59.57","7.08","58.4","18.77"
"65","31.5","14.62","66.56","87.33","30.72"
"66","89.37","67.52","53.98","2.41","58.52"
"67","40.5","33.65","86.84","28.38","30.51"
"68","92.63","85.97","31.66","13.4","55.82"
"69","55.42","8.29","86.99","92.06","47.65"
"70","9.86","83.55","16.62","5.85","70.76"
"71","55.62","21.68","22.6","68.64","28.6"
"72","19.42","35.31","0.29","93.19","67.4"
"73","61.08","19.25","37.63","1.68","1.64"
"74","32.39","46.79","63.37","13.19","24.79"
"75","14.21","52.8","17.81","85.32","89.84"
"76","35.42","46.57","16.25","31.12","27.44"
"77","45.24","32.28","47.72","69.93","4.27"
"78","75.71","31.63","79.51","1.85","99.86"
"79","90.35","67.63","49.79","75.3","29.72"
"80","11.67","34.59","63.05","27.95","50.52"
"81","32.35","68.48","58.92","74.89","30.22"
"82","39.91","95.36","95.67","21.05","72.56"
"83","30.35","43.94","17.41","56.11","2.92"
"84","83.14","40.54","63.62","34.68","14.97"
"85","55.97","88.28","33.07","68.99","55.18"
"86","22.44","27.11","16.85","71.82","60.26"
"87","58.34","60.86","98.7","32.65","45.47"
"88","47.27","95.35","5.93","13.84","54.76"
"89","83.6","71.01","52.82","43.1","90.76"
"90","9.71","13.3","19.17","13.14","9.99"
"91","66.21","74.51","13.05","44.24","86.75"
"92","15.91","50.66","15.74","82.16","35.11"
"93","32.53","87.78","22.35","61.86","76.82"
"94","77.71","97.75","82.98","96.72","3.25"
"95","18.91","79.36","62.83","0.66","39.76"
"96","1.29","13.48","18.03","54.64","80.03"
"97","23.46","97.92","80.84","17.89","53.35"
"98","41.56","9.95","24.94","75.39","40.77"
"99","44.66","32.77","81.66","42.23","1.55"
"100","33.54","63.59","89.01","23.49","57.62"
"101","75.31","84.74","85.5","41.52","64.74"
"102","31.73","62.81","39.57","97.41","42.06"
"103","80.84","74.65","3.16","63.97","46.05"
"104","58.74","92.68","71.1","13.02","29.59"
"105","11.1","60.15","73.52","30.57","72.87"
"106","50.82","21.58","70.87","34.91","85.01"
"107","18.22","54.32","94.92","61.22","46.32"
"108","62.31","27.45","61.55","17.71","87.84"
"109","49.7","85.89","31.99","92.79","2.48"
"110","71.15","32.89","95.25","20.79","22.77"
"111","83.31","78.21","76.99","19.57","38.18"
"112","2.52","59.51","20.29","51.88","57.38"
"113","65.78","27.47","13.14","0.48","68.46"
"114","79.53","26.21","78.53","53.4","65.84"
"115","6.67","44.58","11.19","54.34","86.16"
"116","49.69","86.43","77.27","23.89","61.74"
"117","91.73","4.81","94.85","10.59","22.49"
"118","76.44","31.29","54.01","62.6","41.63"
"119","64.67","13.35","97.58","39.53","29.87"
"120","75.05","22.9","70.59","21.29","12.76"
"121","57.43","40.12","12.54","95.93","81.03"
"122","31.04","1.16","17.03","91.71","74.92"
"123","77.9","88.26","10.85","9.25","29.08"
"124","12.44","46.71","93.36","6.12","7.16"
"125","76.42","26.5","84.26","52.24","82.6"
"126","55.56","94.94","51.18","51.85","75.97"
"127","50.51","7.54","4.2","55.97","69.09"
"128","82.98","69.3","82.25","28.42","2.88"
"129","3.08","42.33","72.74","26.03","30.52"
"130","9.96","15.32","7.44","53.41","77.04"
"131","95.43","59.29","40.55","88.96","70.48"
"132","9.37","66.69","56.76","31.61","51.13"
"133","46.79","93.74","19.42","58.55","9.46"
"134","87.86","74.02","61.1","35.1","78.34"
"135","26.1","11.89","66.92","51.45","83.05"
"136","88.9","94.71","52.74","50.42","67.31"
"137","15.39","64.48","12.95","12.85","77.19"
"138","83.67","96.87","62.15","63.53","11.11"
"139","0.17","51.45","6.13","46.53","88.38"
"140","9.33","70.83","69.54","0.71","48.59"
"141","34.93","71.68","37.47","73.42","93.38"
"142","71.3","21.87","91.05","63.54","5.18"
"143","93.98","91.64","17.93","83.37","94.54"
"144","91.81","64.85","56.72","53.67","77.96"
"145","20.55","56.68","56.37","93.14","80.3"
"146","27.29","77.51","88.79","14.03","82.4"
"147","87.61","83.69","6.7","74.6","11.04"
"148","54.78","90.16","18.75","0.12","96.45"
"149","98.21","61.47","25.84","71","79.64"
"150","91.91","16.26","32.08","60.72","31.83"
"151","67.87","6.24","27.02","75.29","72.06"
"152","84.37","24.32","39.68","89.28","24.22"
"153","76.99","73.63","57.22","83.37","13.11"
"154","81.73","26.12","22.91","99.32","99.7"
"155","45.79","84.99","47.98","26.31","55.71"
"156","69","12.52","25.57","26.28","71.92"
"157","99.82","37.76","35.88","59.38","62.94"
"158","18.03","61.07","94.2","86.21","87.23"
"159","80.57","43.9","87.53","41.33","34.68"
"160","89.27","52.75","44.86","46.98","33.3"
"161","22.24","42.85","46.75","90.43","16.11"
"162","57.22","38.74","34.39","15.55","38.62"
"163","23.24","90.29","13.18","71.58","4.65"
"164","36.46","0.02","52.34","29.89","41.28"
"165","78.73","94.17","85.24","38.23","54.73"
"166","23.4","94.73","19.51","53.18","35.72"
"167","9.72","51.49","44.36","43.84","90.98"
"168","2.7","65.02","46.68","88.83","54.53"
"169","12.4","46.94","3.85","16.47","98.12"
"170","25.12","60.28","87.46","80.79","51.67"
"171","94.73","32.29","3.15","49.68","22.28"
"172","78.11","77.09","44.48","77.93","76.87"
"173","87.67","88.59","6.87","74.88","67.33"
"174","13.44","74.26","98.26","97.6","62.18"
"175","83.71","2.67","99.96","6.81","66.16"
"176","80.08","25.36","70.21","30.5","92.16"
"177","92.63","56.58","98","98.68","18.3"
"178","52.62","23.49","69.89","88.7","43.58"
"179","17.41","96.11","46.32","38.38","68.47"
"180","99.94","13.59","99.71","23.67","72.52"
"181","54.72","69.96","16.81","90.44","1.82"
"182","59.93","32.35","69.36","53.45","91.97"
"183","79.6","19.08","41.68","45.09","52.1"
"184","12.78","97.09","39.45","24.48","4.41"
"185","84.68","64.74","49.14","23.17","77.73"
"186","45.68","27.43","39.08","28.4","53.04"
"187","20.8","46.21","31.82","83.69","23.94"
"188","81.2","89.69","84.7","29.49","33.28"
"189","38.78","31.87","54.2","3.47","72.76"
"190","53.15","7.34","4.92","83.89","61.77"
"191","44.72","76.33","53.93","84.84","88.44"
"192","2.31","44.94","28.16","38.96","7.53"
"193","36.09","50.85","49.89","72.15","27.21"
"194","79.54","91.01","13.93","93.68","50.47"
"195","28.65","65.14","61.94","21.75","2.79"
"196","84.23","9.66","28.82","42.14","60.5"
"197","5.7","45","58.06","50.43","49.65"
"198","23.18","41.55","4.26","0.54","33.08"
"199","59.91","80.35","36.14","89.09","5.39"
"200","26.25","34.56","61.5","46.23","3.43"
"201","46.06","46.75","93.85","38.55","38.66"
"202","60.17","31.43","9.22","32.11","78.05"
"203","25.13","49.45","9.64","36.89","64.19"
"204","24.48","73.54","68.21","27.96","20.58"
"205","19.45","94.21","33.82","65.57","31.81"
"206","10.38","40.16","59.51","98.84","15.47"
"207","35.91","52.33","40.79","68.74","48.79"
"208","81.5","1.27","82.25","73.63","10.54"
"209","21.57","64.1","46.02","82.74","61.73"
"210","50.88","8.87","50.9","53.73","65.69"
"211","42.43","94.1","50.63","33.02","37.91"
"212","84.58","80.24","90.3","79.38","54.84"
"213","31.5","82.97","78.14","0.41","96.33"
"214","66.2","9.98","76.16","34.02","94.63"
"215","66.61","28.98","6.51","77.36","77.1"
"216","15.73","62.27","69.55","13.37","6.91"
"217","6.11","9.43","29.57","86.95","46.74"
"218","68.8","80","63.97","16.45","36.41"
"219","97.77","56.01","31.52","17.93","52.54"
"220","10.17","51.54","9.42","30.64","87.56"
"221","51.54","2.84","54.57","61.12","15.55"
"222","17.9","17.27","11.12","30.25","29.04"
"223","77.56","0.37","38.74","2.09","91.14"
"224","47.96","97.82","68.5","15.29","69.75"
"225","53.53","84.92","36.87","64.79","62.42"
"226","48.16","40.02","78.08","61.3","30.35"
"227","5.05","70.92","95.09","5.48","37.48"
"228","3.64","15.7","59.91","64.01","79.67"
"229","57.59","85.77","14.84","37.32","40.2"
"230","49.52","35.63","53.56","70.19","80.99"
"231","15.33","79.52","76.15","99.79","36.32"
"232","68.46","69.29","91.28","38.53","53.7"
"233","35.84","22.17","24.1","42.13","97.79"
"234","37.57","39.76","44.38","65.86","71.11"
"235","21.51","80.43","5.12","8.12","44.56"
"236","61.8","30.34","41","15.55","99.93"
"237","90.15","38.63","63.7","39.57","97.62"
"238","42.16","85.8","11.14","8.45","84.9"
"239","19.36","94.24","63.23","10.72","25.09"
"240","97.83","6.53","4.96","82.15","64.26"
"241","23.35","42.43","0.2","42.36","85.79"
