"id","t1","t2","t3","t4","t5"
"4001","95.12","93.68","7.28","59.85","5.35"
"4002","57.47","4.37","20.2","73.44","51.96"
"4003","70.18","82.71","77.08","63.42","53.21"
"4004","98.13","35.15","17.95","75.06","61.21"
"4005","42.38","37.83","81.92","47.59","35.62"
"4006","87.54","82.97","13.08","27.72","0.33"
"4007","36.05","43.78","54.75","90.57","26.96"
"4008","71.13","75.93","32.97","22.56","41.42"
"4009","22.89","34.07","85.33","10.25","26.19"
"4010","37.58","27.55","75.52","58.4","96.39"
"4011","48.2","26.45","0.93","78.65","92.76"
"4012","92.95","64.33","8.3","44.53","28.52"
"4013","40.19","70.99","88.04","97.42","7.73"
"4014","88.02","83.19","56.43","0.86","97.64"
"4015","40.23","83.37","93.47","33.08","21.93"
"4016","12.7","18.05","3.21","29.84","9.68"
"4017","84.75","87.85","86.14","63.42","73.35"
"4018","68.44","8.97","57.66","76.62","35.26"
"4019","0.82","24.15","75.8","80.61","27.8"
"4020","58.8","49.5","70.47","86.16","11.79"
"4021","62.31","0.6","37.12","38.96","68.38"
"4022","80.83","85.38","22.44","72.74","32.28"
"4023","28.19","64.47","48.78","1.47","89.29"
"4024","83.56","12.78","74.98","52.23","17.68"
"4025","71.89","22.53","53.19","23.03","16.68"
"4026","16.25","77.36","15.81","50.59","83.44"
"4027","1.35","96.9","28.76","3.43","30.68"
"4028","54.61","12.08","17.57","23.41","20.08"
"4029","82.37","94.09","9.14","72.26","37.19"
"4030","38.73","71.32","28.99","5.73","25.45"
"4031","94","69.22","76.88","34.82","11.24"
"4032","37.48","10.2","57.68","89.68","57.89"
"4033","20.31","63.19","14.72","27.94","8.18"
"4034","59.27","68.69","12.43","3.93","67.79"
"4035","43.14","29.16","66.57","69.68","4.19"
"4036","90.55","31.6","78.83","61.3","60.29"
"4037","71.81","96.77","63.64","16.01","72.04"
"4038","43.7","73.57","69.64","73.5","50.72"
"4039","25.11","67.21","94.3","30.5","23.98"
"4040","61.38","89.78","25.35","68.02","91.36"
"4041","2.87","20.92","85.85","87.47","46.56"
"4042","84.27","68.71","0.63","66.93","65.16"
"4043","0.07","23.36","68.26","33.84","97.64"
"4044","87.81","55.62","14.19","85.42","28.44"
"4045","53.7","63.05","31.41","87.96","2.29"
"4046","13.56","16.04","48.58","21.99","3.55"
"4047","93.57","24.52","13.59","99.68","60.43"
"4048","72","81.51","24.58","24.7","32.07"
"4049","36.45","11.8","8.36","36.32","22.1"
"4050","22.38","50.01","79.6","18.75","65.62"
"4051","99.52","33.06","60.91","24.55","15.67"
"4052","12.41","87.76","56.6","89.6","30.78"
"4053","81.89","48.38","81.35","39.64","15.53"
"4054","92.31","30.8","50.96","7.2","38.5"
"4055","23.93","33.9","36.01","60.68","16.66"
"4056","21.93","84.15","63.22","9.07","0.95"
"4057","64.99","64.04","3","62.08","56.02"
"4058","41.77","59.06","34.14","11.51","35.43"
"4059","36.18","82.81","44.43","71.08","87.93"
"4060","19.97","32.29","69.38","20.5","54.96"
"4061","64.53","6.42","35.36","7.8","25.53"
"4062","44.58","8.61","43.66","97.87","65.57"
"4063","4.99","47","68.46","31.43","69.12"
"4064","10.2","94.77","34.26","42.77","81.86"
"4065","97.76","18.01","58.55","50.71","25.1"
"4066","97.56","3.48","57.71","44.76","45.12"
